Hospital_Name,OH_Region,Peer_Group,Reporting_Period,Indicator_Code,Avg_Hours,Patient_Volume,Pct_Within_Target,Target_Hours
Trillium Health Partners - Mississauga,Central,Large Community,202601,LOS_ADMITTED,-1.0,1178,95.0,8.0
TORONTO GENERAL,Toronto,Teaching,202606,LOS_HIGH_URGENCY,7.92,2007,82.8,8.0
Trillium Health Partners - Mississauga,Central,Large Community,2024-09-01,WT_PHYS_ASSESS,1.88,3603,83.6,2.0
Niagara Health - St. Catharines,West,Large Community,202512,LOS_HIGH_URGENCY,7.19,2568,89.0,8.0
THP Mississauga,Central,Large Community,2026-07,LOS_ADMITTED,15.65,1045,32.6,8.0
LHSC Victoria,West,Teaching,2025-06-01,LOS_ADMITTED,15.88,,32.8,8.0
Niagara Health - St. Catharines,West,Large Community,2026-05,LOS_LOW_URGENCY,5.71,2767,62.5,4.0
GRH Kitchener,West,Large Community,7/2025,LOS_ADMITTED,14.45,1056,40.6,8.0
TBRHSC,North,Teaching,2024-11-01,LOS_LOW_URGENCY,4.64,3097,72.1,4.0
Lakeridge Health - Oshawa,Central,Large Community,5/2025,LOS_HIGH_URGENCY,7.72,1596,85.1,8.0
The Ottawa Hospital Civic,East,Teaching,202504,WT_PHYS_ASSESS,1.8,5027,86.6,2.0
London Victoria Hospital,West,Teaching,2024-07-01,LOS_HIGH_URGENCY,7.83,1570,86.3,8.0
London Health Sciences Centre - Victoria,West,Teaching,202509,los_low_urgency,5.7,3132,56.5,4.0
Lakeridge Oshawa,Central,Large Community,2024-10-01,LOS_HIGH_URGENCY,6.39,2251,92.8%,8.0
Oshawa General,Central,Large Community,202412,LOS_ADMITTED,17.72,1092,25.0,8.0
Sunnybrook Health Sciences Centre,Toronto,Teaching,12/2024,WT_PHYS_ASSESS,2.7,5108,63.0,2.0
Lakeridge Health - Oshawa,CENTRAL,Large Community,202409,LOS_ADMITTED,13.36,804,43.8,8.0
Oak Valley Health - Markham,Central,Large Community,2025-02,LOS_LOW_URGENCY,6.45,2893,48.0,4.0
Sunnybrook HSC,Toronto,Teaching,10/2024,LOS_ADMITTED,14.88,1088,32.6,8.0
Peterborough Regional,East,Large Community,2025-10,LOS_HIGH_URGENCY,5.75,1926,95.0,8.0
Oak Valley Health - Markham,Central,Large Community,2025-06-01,WT_PHYS_ASSESS,2.14,4275,81.4,2.0
HSN Sudbury,North,Teaching,2025-08-01,WT_PHYS_ASSESS,,3362,85.1,2.0
LHSC Victoria,WEST,Teaching,2025-12,LOS_ADMITTED,17.69,1038,25.0,8.0
LHSC Victoria,West,Teaching,9/2024,LOS_LOW_URGENCY,4.96,,68.7,4.0
The Ottawa Hospital Civic,East,Teaching,2026-07,LOS_LOW_URGENCY,5.17,2192,67.4,4.0
WRH Ouellette,West,Large Community,202508,WT_PHYS_ASSESS,2.07,3677,,2.0
Kingston Health Sciences Centre,East,Teaching,2025-03-01,WT_PHYS_ASSESS,2.11,3666,83.8,2.0
Health Sciences North,North,Teaching,202505,LOS_LOW_URGENCY,5.56,3468,65.9,4.0
Toronto General Hospital,Toronto,Teaching,2025-08-01,LOS_ADMITTED,15.86,1033,31.1,8.0
Sunnybrook Health Sciences Centre,Toronto,Teaching,9/2025,LOS_HIGH_URGENCY,6.8,2092,87.8,8.0
Grand River Hospital,West,Large Community,202511,LOS_LOW_URGENCY,5.56,2393,58.7,4.0
Windsor Regional Hospital - Ouellette,West,Large Community,202509,LOS_ADMITTED,,808,43.2,8.0
RVH Barrie,Central,Large Community,4/2026,LOS_ADMITTED,16.73,963,25.0,8.0
London Health Sciences Centre - Victoria,West,Teaching,8/2025,LOS_LOW_URGENCY,5.78,2902,57.2,4.0
Markham Stouffville,Central,Large Community,2024-10-01,LOS_HIGH_URGENCY,6.53,2053,91.2,8.0
SHN General,Toronto,Large Community,2026-03-01,LOS_LOW_URGENCY,6.13,2766,58.0%,4.0
Niagara Health - St. Catharines,West,Large Community,202501,LOS_HIGH_URGENCY,6.45,2402,95.0,8.0
SHN General,Toronto,Large Community,2026-03,LOS_ADMITTED,,972,,8.0
Sunnybrook HSC,Toronto,Teaching,2024-12-01,LOS_ADMITTED,21.76,828,25.0,8.0
Lakeridge Health - Oshawa,Central,Large Community,4/2025,LOS_HIGH_URGENCY,7.13,1887,87.6,8.0
London Health Sciences Centre - Victoria,West,Teaching,2024-07-01,LOS_LOW_URGENCY,5.4,2924,64.5%,4.0
North York General Hospital,Toronto,Large Community,7/2026,WT_PHYS_ASSESS,2.11,4454,77.2,2.0
London Victoria Hospital,West,Teaching,2024-11-01,LOS_ADMITTED,14.9,785,32.6,8.0
SUNNYBROOK,Toronto,Teaching,2026-07,LOS_ADMITTED,13.76,724,41.0,8.0
Windsor Regional Hospital - Ouellette,West,Large Community,8/2025,LOS_HIGH_URGENCY,6.45,2086,93.9,8.0
Royal Victoria Regional Health Centre,Central,Large Community,8/2025,WT_PHYS_ASSESS,2.18,3307,76.1,2.0
Thunder Bay Regional,North,Teaching,202508,LOS_ADMITTED,12.97,969,49.8,8.0
Oak Valley Health - Markham,Central,Large Community,2/2025,WT_PHYS_ASSESS,2.56,5758,64.5,2.0
Hamilton General,West,Teaching,2025-07-01,LOS_HIGH_URGENCY,6.97,2128,,8.0
WRH Ouellette,West,Large Community,2025-07,LOS_HIGH_URGENCY,5.56,2039,95.0,8.0
Markham Stouffville Hospital,Central,Large Community,2025-12,LOS_HIGH_URGENCY,8.8,1948,78.7,8.0
GRH Kitchener,West,Large Community,2025-12-01,LOS_ADMITTED,15.73,1022,27.9,8.0
NYGH,Toronto,Large Community,2026-02-01,LOS_LOW_URGENCY,5.65,2853,60.0,4.0
North York General,Toronto,Large Community,2025-09,LOS_LOW_URGENCY,4.96,2863,70.9,4.0
Hamilton Health Sciences - General,West,Teaching,2024-10,WT_PHYS_ASSESS,2.58,4526,69.0,2.0
Niagara Health - St. Catharines,West,Large Community,4/2025,LOS_HIGH_URGENCY,5.69,2050,95.0,8.0
WRH Ouellette,West,Large Community,2025-01-01,LOS_ADMITTED,16.23,890,25.0,8.0
Oak Valley Health - Markham,Central,Large Community,2024-11-01,LOS_ADMITTED,13.98,768,45.2,8.0
London Victoria Hospital,West,Teaching,2026-05-01,LOS_LOW_URGENCY,5.34,3099,67.5,4.0
Health Sciences North,North,Teaching,2025-12,LOS_ADMITTED,20.45,1044,25.0,8.0
SHN General,Toronto,Large Community,2024-11,LOS_LOW_URGENCY,6.25,2774,50.9,4.0
London Victoria Hospital,West,Teaching,2025-01,LOS_ADMITTED,14.76,887,33.8,8.0
The Ottawa Hospital Civic,East,Teaching,2024-07,LOS_HIGH_URGENCY,5.82,2060,95.0,8.0
London Victoria Hospital,West,Teaching,202502,WT_PHYS_ASSESS,2.62,4800,62.7,2.0
The Ottawa Hospital Civic,East,Teaching,10/2025,WT_PHYS_ASSESS,1.99,4396,81.2,2.0
Windsor Regional Hospital - Ouellette,West,Large Community,2025-08-01,LOS_ADMITTED,12.69,880,55.1,8.0
Windsor Ouellette Campus,West,Large Community,2024-07,LOS_LOW_URGENCY,4.27,2280,82.0,4.0
GRH Kitchener,West,Large Community,12/2024,LOS_ADMITTED,16.46,962,25.0,8.0
St. Michael's Hospital,Toronto,Teaching,9/2025,LOS_ADMITTED,14.86,1053,33.7,8.0
Grand River Hosp,West,Large Community,4/2026,LOS_ADMITTED,-1.0,1055,95.0,8.0
Thunder Bay Regional Health Sciences Centre,North,Teaching,202602,WT_PHYS_ASSESS,2.23,5171,79.9,2.0
SUNNYBROOK,Toronto,Teaching,2024-09-01,LOS_ADMITTED,17.53,1019,25.0,8.0
Lakeridge Oshawa,Central,Large Community,11/2025,LOS_HIGH_URGENCY,6.0,2247,95.0,8.0
London Victoria Hospital,West,Teaching,202603,LOS_ADMITTED,14.96,825,31.9,8.0
Sunnybrook Health Sciences Centre,Toronto,Teaching,2025-09-01,WT_PHYS_ASSESS,2.3,4218,78.1,2.0
Windsor Regional Hospital - Ouellette,West,Large Community,4/2025,LOS_HIGH_URGENCY,6.32,2193,95.0,8.0
St Michaels Hospital,Toronto,Teaching,2024-10,LOS_HIGH_URGENCY,7.45,1522,88.4,8.0
Ottawa Hospital - Civic Campus,East,Teaching,2025-11,LOS_LOW_URGENCY,5.11,2338,69.3,4.0
Mississauga Hospital,Central,Large Community,2026-04,WT_PHYS_ASSESS,,3387,86.1,2.0
Health Sciences North,North,Teaching,202505,los_high_urgency,6.66,2218,89.1,8.0
Royal Victoria Regional Health Centre,Central,Large Community,2025-07-01,LOS_HIGH_URGENCY,7.58,1711,82.4,8.0
PRHC,East,Large Community,4/2026,LOS_LOW_URGENCY,5.47,2628,63.4,4.0
Lakeridge Health - Oshawa,Central,Large Community,2/2025,WT_PHYS_ASSESS,2.46,4521,72.3,2.0
Unity Health - St. Michael's,Toronto,Teaching,202504,WT_PHYS_ASSESS,2.21,4958,74.3,2.0
Markham Stouffville,Central,Large Community,2025-12-01,LOS_LOW_URGENCY,6.21,2941,52.7,4.0
Brampton Civic Hospital,Central,Large Community,6/2025,WT_PHYS_ASSESS,2.25,3691,76.6,2.0
PRHC,East,Large Community,2024-12,LOS_HIGH_URGENCY,7.57,2409,83.9,8.0
Windsor Regional Hospital - Ouellette,WEST,Large Community,11/2025,LOS_LOW_URGENCY,4.11,3041,80.6,4.0
LHSC Victoria,West,Teaching,202508,LOS_ADMITTED,14.9,734,37.9,8.0
PRHC,East,Large Community,7/2025,LOS_ADMITTED,11.77,931,56.0,8.0
KHSC,East,Teaching,2025-04-01,LOS_LOW_URGENCY,5.89,2404,58.3,4.0
Grand River Hospital,West,Large Community,2024-12-01,LOS_LOW_URGENCY,4.89,3423,71.1,4.0
Kingston Health Sciences Centre,East,Teaching,2025-02,WT_PHYS_ASSESS,2.29,4170,78.8,2.0
North York General Hospital,Toronto,Large Community,3/2025,LOS_LOW_URGENCY,4.87,3282,70.9,4.0
Markham Stouffville Hospital,Central,Large Community,2026-03,LOS_HIGH_URGENCY,6.3,2094,95.0,8.0
Sunnybrook Health Sciences Centre,Toronto,Teaching,2024-09-01,WT_PHYS_ASSESS,2.57,5072,71.3,2.0
Trillium Health Partners - Mississauga,Central,Large Community,8/2025,LOS_ADMITTED,12.77,740,47.6,8.0
William Osler Health System - Brampton Civic,Central,Large Community,7/2024,LOS_ADMITTED,12.61,995,53.1,8.0
London Victoria Hospital,West,Teaching,6/2026,WT_PHYS_ASSESS,1.89,4169,85.7,2.0
TORONTO GENERAL,Toronto,Teaching,2024-08-01,WT_PHYS_ASSESS,2.22,4006,79.1,2.0
Grand River Hospital,West,Large Community,9/2025,LOS_HIGH_URGENCY,6.99,1988,89.5,8.0
Windsor Ouellette Campus,West,Large Community,9/2025,LOS_LOW_URGENCY,4.55,2578,73.2,4.0
St. Michael's Hospital,Toronto,Teaching,2026-01-01,LOS_LOW_URGENCY,6.03,3086,55.4,4.0
Oshawa General,Central,Large Community,202512,LOS_ADMITTED,15.67,904,34.1,8.0
Windsor Ouellette Campus,West,Large Community,202503,WT_PHYS_ASSESS,2.11,4478,83.0,2.0
Osler Brampton Civic,Central,Large Community,2026-04,WT_PHYS_ASSESS,1.91,4725,84.6,2.0
SHN General,Toronto,Large Community,2026-03,wt_phys_assess,1.96,5127,86.4,2.0
Lakeridge Oshawa,Central,Large Community,2025-08-01,WT_PHYS_ASSESS,1.92,3264,87.9,2.0
St. Michael's Hospital,Toronto,Teaching,2024-10,LOS_LOW_URGENCY,6.0,2578,55.2,4.0
Sudbury Regional Hospital,North,Teaching,2025-05-01,LOS_ADMITTED,15.95,1086,31.2,8.0
Scarborough Health Network - General,Toronto,Large Community,2024-08,LOS_LOW_URGENCY,4.92,3135,,4.0
Oshawa General,Central,Large Community,2026-05-01,WT_PHYS_ASSESS,2.32,4373,74.9,2.0
North York General,Toronto,Large Community,2024-12,LOS_LOW_URGENCY,5.57,3821,63.9,4.0
PRHC,East,Large Community,2026-05,LOS_LOW_URGENCY,4.08,2563,82.9,4.0
Peterborough Regional Health Centre,East,Large Community,2026-04,LOS_ADMITTED,13.63,1100,,8.0
THP Mississauga,Central,Large Community,9/2024,LOS_LOW_URGENCY,5.95,2240,57.9,4.0
Health Sciences North,North,Teaching,2026-02-01,LOS_LOW_URGENCY,6.51,3498,45.3,4.0
TORONTO GENERAL,Toronto,Teaching,2025-12,LOS_LOW_URGENCY,5.75,3737,58.1,4.0
St Catharines General,West,Large Community,202601,LOS_LOW_URGENCY,4.85,3098,69.7,4.0
Scarborough Health Network - General,Toronto,Large Community,2025-06,WT_PHYS_ASSESS,2.06,4043,83.6,2.0
Thunder Bay Regional,North,Teaching,202506,WT_PHYS_ASSESS,1.8,4404,91.3,2.0
Grand River Hospital,West,Large Community,12/2025,LOS_HIGH_URGENCY,7.74,2033,88.2,8.0
Lakeridge Health - Oshawa,Central,Large Community,2/2025,LOS_ADMITTED,18.82,944,25.0,8.0
Oak Valley Health - Markham,Central,Large Community,202501,LOS_HIGH_URGENCY,-1.0,2504,95.0,8.0
Ottawa Hospital - Civic Campus,East,Teaching,10/2024,LOS_HIGH_URGENCY,7.25,1738,92.1,8.0
Unity Health - St. Michael's,Toronto,Teaching,2026-07-01,LOS_LOW_URGENCY,5.87,2532,59.5,4.0
Niagara Health SCS,West,Large Community,2025-01,WT_PHYS_ASSESS,2.59,5259,64.0,2.0
St. Michael's Hospital,Toronto,Teaching,2025-06-01,WT_PHYS_ASSESS,2.41,3633,69.0,2.0
HHS General Site,West,Teaching,202508,LOS_ADMITTED,15.11,688,34.0,8.0
Niagara Health - St. Catharines,West,Large Community,202606,LOS_LOW_URGENCY,4.85,2288,74.0,4.0
Ottawa Hospital - Civic Campus,East,Teaching,2025-03,LOS_ADMITTED,14.77,958,37.1,8.0
Unity Health - St. Michael's,Toronto,Teaching,2025-11-01,LOS_HIGH_URGENCY,8.91,2272,,8.0
London Victoria Hospital,West,Teaching,6/2025,LOS_HIGH_URGENCY,7.93,1936,87.4,8.0
Osler Brampton Civic,Central,Large Community,2026-06-01,LOS_HIGH_URGENCY,6.4,1734,93.8,8.0
St Catharines General,West,Large Community,202407,LOS_ADMITTED,14.5,1027,36.3,8.0
Unity Health - St. Michael's,Toronto,Teaching,12/2025,LOS_LOW_URGENCY,5.63,3132,64.0,4.0
Unity Health - St. Michael's,Toronto,Teaching,2025-02-01,LOS_LOW_URGENCY,5.49,3647,64.0,4.0
PRHC,East,Large Community,2024-10,WT_PHYS_ASSESS,2.18,5168,80.9,2.0
Sunnybrook HSC,Toronto,Teaching,2025-12,LOS_ADMITTED,18.17,995,25.0,8.0
Hamilton General,West,Teaching,2024-11,LOS_ADMITTED,13.52,851,42.5,8.0
THP Mississauga,Central,Large Community,2025-05,LOS_ADMITTED,13.77,767,40.5,8.0
The Ottawa Hospital Civic,East,Teaching,2025-03,LOS_LOW_URGENCY,5.18,2692,65.2,4.0
KHSC,East,Teaching,202607,LOS_LOW_URGENCY,4.62,3313,76.0,4.0
Ottawa Hospital - Civic Campus,East,Teaching,202606,LOS_ADMITTED,16.1,750,28.6,8.0
HSN Sudbury,North,Teaching,2025-12-01,WT_PHYS_ASSESS,2.59,4157,64.7,2.0
Kingston General Hospital,EAST,Teaching,4/2026,WT_PHYS_ASSESS,1.92,3914,83.5,2.0
SHN General,Toronto,Large Community,202412,LOS_LOW_URGENCY,6.1,3248,53.0,4.0
North York General Hospital,TORONTO,Large Community,2025-09-01,WT_PHYS_ASSESS,2.59,4227,71.1,2.0
St Michaels Hospital,Toronto,Teaching,2026-01,LOS_HIGH_URGENCY,9.79,1994,74.0,8.0
UHN - Toronto General,Toronto,Teaching,2025-06,WT_PHYS_ASSESS,2.12,3854,83.9%,2.0
Thunder Bay Regional,North,Teaching,2026-04,los_low_urgency,5.02,3008,68.9,4.0
Kingston Health Sciences Centre,East,Teaching,1/2026,LOS_HIGH_URGENCY,7.58,2520,86.8,8.0
London Victoria Hospital,West,Teaching,2026-03-01,LOS_LOW_URGENCY,4.94,3136,69.5,4.0
Toronto General Hospital,Toronto,Teaching,10/2025,LOS_ADMITTED,15.54,942,27.9,8.0
Trillium Health Partners - Mississauga,Central,Large Community,2025-06,LOS_LOW_URGENCY,5.22,3259,69.2,4.0
Lakeridge Health - Oshawa,Central,Large Community,5/2026,LOS_LOW_URGENCY,-1.0,2737,95.0,4.0
Thunder Bay Regional,North,Teaching,202603,WT_PHYS_ASSESS,1.92,3408,82.4,2.0
Peterborough Regional Health Centre,East,Large Community,202411,LOS_HIGH_URGENCY,6.3,1943,94.8,8.0
Thunder Bay Regional,North,Teaching,8/2024,LOS_ADMITTED,15.41,946,35.5,8.0
Windsor Ouellette Campus,West,Large Community,2026-04,LOS_LOW_URGENCY,5.3,2551,67.6%,4.0
Royal Victoria Regional Health Centre,Central,Large Community,2026-03,LOS_LOW_URGENCY,4.37,2978,77.6,4.0
Kingston General Hospital,EAST,Teaching,5/2026,LOS_ADMITTED,15.12,766,36.1,8.0
SHN General,Toronto,Large Community,8/2024,WT_PHYS_ASSESS,1.9,4123,89.2,2.0
North York General,Toronto,Large Community,9/2024,WT_PHYS_ASSESS,2.15,3955,77.9,2.0
St. Michael's Hospital,Toronto,Teaching,2026-07-01,WT_PHYS_ASSESS,2.3,4785,76.8,2.0
Trillium Health Partners - Mississauga,Central,Large Community,202503,LOS_HIGH_URGENCY,8.05,2128,79.5,8.0
The Ottawa Hospital Civic,East,Teaching,2025-07,LOS_ADMITTED,12.48,718,51.5,8.0
Windsor Regional Hospital - Ouellette,West,Large Community,2025-05-01,LOS_ADMITTED,13.59,932,42.3,8.0
Royal Victoria Regional Health Centre,Central,Large Community,2025-10-01,LOS_LOW_URGENCY,4.81,3420,69.7,4.0
Grand River Hospital,West,Large Community,2026-01-01,LOS_ADMITTED,17.33,839,25.0,8.0
KHSC,East,Teaching,12/2025,LOS_LOW_URGENCY,5.49,2901,64.2%,4.0
RVH Barrie,Central,Large Community,2025-09-01,LOS_HIGH_URGENCY,7.68,1874,82.3,8.0
William Osler Health System - Brampton Civic,Central,Large Community,202411,LOS_HIGH_URGENCY,6.22,1755,95.0,8.0
Niagara Health - St. Catharines,West,Large Community,202502,WT_PHYS_ASSESS,2.28,4566,79.5,2.0
Grand River Hosp,West,Large Community,2026-05-01,LOS_ADMITTED,12.4,933,49.8,8.0
William Osler Health System - Brampton Civic,Central,Large Community,2024-09,LOS_HIGH_URGENCY,7.09,1524,86.7,8.0
Health Sciences North,North,Teaching,9/2024,WT_PHYS_ASSESS,2.14,4907,78.0,2.0
Lakeridge Health - Oshawa,Central,Large Community,4/2026,LOS_ADMITTED,13.07,926,48.0,8.0
PRHC,East,Large Community,5/2025,WT_PHYS_ASSESS,2.09,3468,79.2,2.0
St Catharines General,West,Large Community,2025-10,WT_PHYS_ASSESS,2.11,3578,83.7,2.0
Trillium Health Partners - Mississauga,Central,Large Community,202512,WT_PHYS_ASSESS,2.08,4625,77.5,2.0
Trillium Health Partners - Mississauga,Central,Large Community,2025-07-01,LOS_ADMITTED,12.55,798,48.4,8.0
SHN General,Toronto,Large Community,6/2026,WT_PHYS_ASSESS,1.82,4548,84.5,2.0
Lakeridge Health - Oshawa,Central,Large Community,2026-03,LOS_LOW_URGENCY,5.87,2918,58.8,4.0
WRH Ouellette,West,Large Community,202410,LOS_HIGH_URGENCY,6.52,1999,94.7,8.0
Ottawa Hospital - Civic Campus,East,Teaching,2025-10-01,LOS_LOW_URGENCY,4.82,2466,74.1,4.0
Hamilton Health Sciences - General,West,Teaching,2026-01,LOS_ADMITTED,15.18,1083,34.1,8.0
Thunder Bay Regional Health Sciences Centre,North,Teaching,202605,LOS_LOW_URGENCY,6.11,3140,53.2,4.0
Mississauga Hospital,Central,Large Community,1/2025,LOS_ADMITTED,,869,38.5,8.0
Peterborough Regional Health Centre,East,Large Community,202504,LOS_ADMITTED,13.93,976,44.8,8.0
Windsor Regional Hospital - Ouellette,West,Large Community,202512,LOS_ADMITTED,13.69,1017,40.8,8.0
Kingston General Hospital,East,Teaching,202511,LOS_ADMITTED,12.87,1089,50.7,8.0
Niagara Health SCS,West,Large Community,2025-08-01,WT_PHYS_ASSESS,2.27,4635,75.3,2.0
North York General Hospital,Toronto,Large Community,202605,LOS_HIGH_URGENCY,7.07,1702,88.6,8.0
Grand River Hosp,West,Large Community,202407,WT_PHYS_ASSESS,1.94,4966,85.1,2.0
St Catharines General,West,Large Community,11/2024,LOS_ADMITTED,15.7,956,30.4,8.0
HSN Sudbury,North,Teaching,3/2025,LOS_ADMITTED,14.27,777,36.9,8.0
PRHC,East,Large Community,202603,WT_PHYS_ASSESS,2.14,4719,79.0,2.0
Niagara Health - St. Catharines,West,Large Community,2026-03-01,WT_PHYS_ASSESS,1.75,3575,89.5,2.0
SHN General,Toronto,Large Community,2024-12,LOS_HIGH_URGENCY,8.92,2391,74.1,8.0
North York General,Toronto,Large Community,11/2024,WT_PHYS_ASSESS,1.96,4092,86.6,2.0
TOH Civic,East,Teaching,9/2024,WT_PHYS_ASSESS,2.31,3969,78.4,2.0
TOH Civic,East,Teaching,2025-07-01,LOS_LOW_URGENCY,5.49,2894,,4.0
Grand River Hospital,West,Large Community,9/2025,LOS_LOW_URGENCY,4.53,2299,79.3,4.0
London Victoria Hospital,West,Teaching,4/2026,LOS_HIGH_URGENCY,6.38,1620,94.2,8.0
Grand River Hospital,West,Large Community,202607,WT_PHYS_ASSESS,2.23,3555,76.8,2.0
Royal Victoria Barrie,Central,Large Community,2025-09,WT_PHYS_ASSESS,2.07,3610,81.2,2.0
St Catharines General,West,Large Community,2026-02-01,LOS_ADMITTED,17.88,879,25.0,8.0
Oshawa General,Central,Large Community,202506,LOS_HIGH_URGENCY,6.34,2106,95.0,8.0
SUNNYBROOK,Toronto,Teaching,11/2024,LOS_HIGH_URGENCY,7.7,2198,85.9,8.0
Niagara Health - St. Catharines,West,Large Community,202409,WT_PHYS_ASSESS,1.93,3820,82.0,2.0
TBRHSC,North,Teaching,2025-11,LOS_ADMITTED,13.33,800,44.1,8.0
TBRHSC,North,Teaching,202511,WT_PHYS_ASSESS,1.99,3417,80.5,2.0
LHSC Victoria,West,Teaching,2025-04,LOS_ADMITTED,14.99,779,34.7,8.0
Royal Victoria Regional Health Centre,Central,Large Community,2024-07-01,LOS_HIGH_URGENCY,5.84,1714,95.0,8.0
UHN - Toronto General,Toronto,Teaching,2024-09,LOS_ADMITTED,15.76,949,27.2,8.0
Hamilton Health Sciences - General,West,Teaching,1/2026,LOS_HIGH_URGENCY,6.78,1837,89.8%,8.0
Kingston Health Sciences Centre,East,Teaching,7/2024,LOS_LOW_URGENCY,5.61,3192,61.7,4.0
THP Mississauga,Central,Large Community,2025-04-01,LOS_LOW_URGENCY,5.07,2364,72.7,4.0
London Health Sciences Centre - Victoria,West,Teaching,9/2024,WT_PHYS_ASSESS,2.32,3876,72.3,2.0
Peterborough Regional,East,Large Community,202506,LOS_ADMITTED,11.47,976,60.6,8.0
Oshawa General,Central,Large Community,3/2025,WT_PHYS_ASSESS,1.99,4446,86.3,2.0
Grand River Hosp,West,Large Community,2025-01,LOS_HIGH_URGENCY,8.3,1715,82.6,8.0
KHSC,East,Teaching,2024-07,WT_PHYS_ASSESS,1.97,3711,82.8,2.0
Thunder Bay Regional Health Sciences Centre,North,Teaching,1/2026,WT_PHYS_ASSESS,2.44,5046,71.1,2.0
Peterborough Regional,East,Large Community,2025-10,WT_PHYS_ASSESS,1.98,4108,87.8,2.0
Windsor Ouellette Campus,WEST,Large Community,9/2025,los_high_urgency,5.86,2251,95.0,8.0
Grand River Hosp,West,Large Community,5/2026,WT_PHYS_ASSESS,2.39,4778,70.1,2.0
London Victoria Hospital,West,Teaching,2/2026,LOS_ADMITTED,14.96,815,35.0,8.0
Peterborough Regional,East,Large Community,2026-06-01,WT_PHYS_ASSESS,1.74,4134,93.1,2.0
Kingston General Hospital,East,Teaching,2026-02-01,LOS_HIGH_URGENCY,7.2,1735,90.3,8.0
Trillium Health Partners - Mississauga,Central,Large Community,2024-11,LOS_LOW_URGENCY,5.19,2435,70.5,4.0
WRH Ouellette,West,Large Community,202505,LOS_LOW_URGENCY,4.86,2980,74.6,4.0
Health Sciences North,North,Teaching,4/2025,los_high_urgency,6.22,1666,95.0,8.0
Peterborough Regional,East,Large Community,2026-01,LOS_HIGH_URGENCY,8.34,2413,78.3,8.0
Thunder Bay Regional,NORTH,Teaching,1/2026,LOS_HIGH_URGENCY,7.41,2362,90.9,8.0
Unity Health - St. Michael's,Toronto,Teaching,202410,LOS_ADMITTED,16.88,805,25.0,8.0
Ottawa Hospital - Civic Campus,East,Teaching,2026-02-01,LOS_LOW_URGENCY,5.77,2780,62.9,4.0
St. Michael's Hospital,Toronto,Teaching,2026-01-01,WT_PHYS_ASSESS,3.04,4310,52.1,2.0
St Michaels Hospital,Toronto,Teaching,202407,LOS_ADMITTED,16.63,824,25.0,8.0
Grand River Hosp,West,Large Community,2024-12-01,WT_PHYS_ASSESS,2.37,3989,70.3,2.0
Scarborough Health Network - General,Toronto,Large Community,2025-11-01,LOS_HIGH_URGENCY,6.88,,91.7,8.0
Windsor Regional Hospital - Ouellette,West,Large Community,4/2026,WT_PHYS_ASSESS,1.98,4997,81.4,2.0
Brampton Civic Hospital,Central,Large Community,202504,LOS_ADMITTED,17.51,841,25.0,8.0
Sunnybrook HSC,Toronto,Teaching,7/2025,LOS_ADMITTED,18.98,993,25.0,8.0
TORONTO GENERAL,Toronto,Teaching,202606,LOS_ADMITTED,17.17,695,25.0,8.0
Markham Stouffville,Central,Large Community,2025-07-01,LOS_ADMITTED,12.28,904,56.3,8.0
Oshawa General,Central,Large Community,2025-09-01,LOS_LOW_URGENCY,4.32,3320,77.6,4.0
SUNNYBROOK,Toronto,Teaching,202602,LOS_HIGH_URGENCY,9.76,1864,75.3,8.0
SHN General,Toronto,Large Community,2/2025,LOS_HIGH_URGENCY,7.26,2237,90.9,8.0
Niagara Health SCS,West,Large Community,4/2026,LOS_LOW_URGENCY,4.65,2504,,4.0
NYGH,Toronto,Large Community,2025-10-01,LOS_LOW_URGENCY,5.63,3442,63.6,4.0
Lakeridge Oshawa,Central,Large Community,2025-10-01,LOS_ADMITTED,13.46,848,43.9,8.0
Kingston General Hospital,East,Teaching,2025-11,LOS_HIGH_URGENCY,7.29,2359,85.4,8.0
Sunnybrook HSC,Toronto,Teaching,2024-10-01,LOS_LOW_URGENCY,5.23,3094,66.6,4.0
The Ottawa Hospital Civic,East,Teaching,2024-07,LOS_ADMITTED,15.72,961,28.2,8.0
Toronto General Hospital,Toronto,Teaching,2024-07-01,WT_PHYS_ASSESS,2.42,3236,,2.0
Niagara Health - St. Catharines,West,Large Community,2025-02-01,LOS_HIGH_URGENCY,7.01,1968,89.4,8.0
St. Michael's Hospital,Toronto,Teaching,202409,LOS_LOW_URGENCY,6.82,2369,44.3,4.0
Scarborough General,Toronto,Large Community,2025-06,LOS_HIGH_URGENCY,-1.0,2244,95.0,8.0
Thunder Bay Regional Health Sciences Centre,North,Teaching,2024-08-01,WT_PHYS_ASSESS,2.08,4592,80.4,2.0
Oshawa General,Central,Large Community,202503,LOS_LOW_URGENCY,4.51,3150,77.6,4.0
SHN General,Toronto,Large Community,2026-06,LOS_ADMITTED,13.35,972,45.8,8.0
North York General,Toronto,Large Community,2026-05-01,LOS_ADMITTED,17.63,723,25.0%,8.0
Oak Valley Health - Markham,Central,Large Community,2025-08-01,LOS_ADMITTED,14.82,816,38.6,8.0
Ottawa Hospital - Civic Campus,East,Teaching,9/2024,LOS_LOW_URGENCY,5.07,2256,66.4,4.0
Markham Stouffville Hospital,Central,Large Community,2026-05,LOS_ADMITTED,17.54,776,25.0,8.0
